UF,Municipio,PIB,Populacao
MG,Leandro Ferreira,  55.510 ,  4.923 
MG,Leme do Prado,  66.205 ,  52.690 
MG,Leopoldina,  1.113.027 ,  4.994 
MG,Liberdade,  107.638 ,  16.749 
MG,Lima Duarte,  339.660 ,  7.640 
MG,Limeira do Oeste,  462.851 ,  9.766 
MG,Lontra,  93.858 ,  6.249 
MG,Luisburgo,  132.789 ,  6.735 
MG,Luislândia,  65.474 ,  5.431 
MG,Luminárias,  149.070 ,  18.297 
MG,Luz,  657.025 ,  7.112 
MG,Machacalis,  112.451 ,  42.682 
MG,Machado,  1.373.850 ,  5.119 
MG,Madre de Deus de Minas,  301.988 ,  18.556 
MG,Malacacheta,  235.819 ,  6.565 
MG,Mamonas,  60.107 ,  18.051 
MG,Manga,  243.371 ,  92.074 
MG,Manhuaçu,  3.278.527 ,  22.894 
MG,Manhumirim,  563.494 ,  27.651 
MG,Mantena,  476.940 ,  12.985 
MG,Maravilhas,  233.154 ,  8.113 
MG,Mar de Espanha,  227.578 ,  14.019 
MG,Maria da Fé,  203.136 ,  61.830 
MG,Mariana,  7.367.378 ,  4.079 
MG,Marilac,  57.719 ,  15.814 
MG,Mário Campos,  198.000 ,  3.000 
MG,Maripá de Minas,  74.979 ,  4.030 
MG,Marliéria,  60.450 ,  2.701 
MG,Marmelópolis,  42.794 ,  13.497 
MG,Martinho Campos,  474.772 ,  8.640 
MG,Martins Soares,  215.681 ,  8.700 
MG,Mata Verde,  91.577 ,  4.415 
MG,Materlândia,  60.534 ,  31.631 
MG,Mateus Leme,  1.079.651 ,  3.157 
MG,Matias Barbosa,  628.205 ,  14.626 
MG,Matias Cardoso,  158.638 ,  11.360 
MG,Matipó,  425.322 ,  19.098 
MG,Mato Verde,  157.578 ,  12.367 
MG,Matozinhos,  1.506.154 ,  38.469 
MG,Matutina,  97.194 ,  3.733 
MG,Medeiros,  247.330 ,  3.861 
MG,Medina,  253.051 ,  20.701 
MG,Mendes Pimentel,  77.396 ,  6.446 
MG,Mercês,  151.768 ,  10.775 
MG,Mesquita,  59.463 ,  5.489 
MG,Minas Novas,  350.142 ,  31.509 
MG,Minduri,  163.786 ,  3.891 
MG,Mirabela,  163.017 ,  13.651 
MG,Miradouro,  174.006 ,  10.818 
MG,Miraí,  334.110 ,  15.205 
MG,Miravânia,  46.808 ,  4.939 
MG,Moeda,  76.842 ,  4.948 
MG,Moema,  152.615 ,  7.589 
MG,Monjolos,  46.811 ,  2.184 
MG,Monsenhor Paulo,  228.158 ,  8.764 
MG,Montalvânia,  165.416 ,  14.621 
MG,Monte Alegre de Minas,  757.892 ,  21.349 
MG,Monte Azul,  256.132 ,  20.544 
MG,Monte Belo,  365.890 ,  13.139 
MG,Monte Carmelo,  1.558.716 ,  48.049 
MG,Monte Formoso,  44.055 ,  4.939 
MG,Monte Santo de Minas,  483.352 ,  21.504 
MG,Montes Claros,  10.800.251 ,  24.247 
MG,Monte Sião,  606.448 ,  417.478 
MG,Montezuma,  91.071 ,  8.379 
MG,Morada Nova de Minas,  541.171 ,  8.955 
MG,Morro da Garça,  51.051 ,  2.413 
MG,Morro do Pilar,  44.118 ,  3.126 
MG,Munhoz,  128.563 ,  5.960 
MG,Muriaé,  2.655.056 ,  109.997 
MG,Mutum,  508.583 ,  26.945 
MG,Muzambinho,  535.441 ,  20.522 
MG,Nacip Raydan,  37.386 ,  3.221 
MG,Nanuque,  808.599 ,  40.583 
MG,Naque,  90.048 ,  7.104 
MG,Natalândia,  75.129 ,  3.306 
MG,Natércia,  115.354 ,  4.727 
MG,Nazareno,  668.882 ,  8.710 
MG,Nepomuceno,  618.502 ,  26.882 
MG,Ninheira,  126.384 ,  10.355 
MG,Nova Belém,  83.428 ,  3.067 
MG,Nova Era,  432.891 ,  17.524 
MG,Nova Lima,  21.042.646 ,  97.378 
MG,Nova Módica,  58.650 ,  3.548 
MG,Nova Ponte,  1.116.305 ,  16.046 
MG,Nova Porteirinha,  116.257 ,  7.493 
MG,Nova Resende,  385.669 ,  16.937 
MG,Nova Serrana,  2.635.892 ,  108.241 
MG,Novo Cruzeiro,  330.447 ,  5.739 
MG,Novo Oriente de Minas,  121.571 ,  31.339 
MG,Novorizonte,  70.417 ,  10.800 
MG,Olaria,  31.909 ,  5.348 
MG,Olhos-d'Água,  211.931 ,  1.694 
MG,Olímpio Noronha,  43.929 ,  6.243 
MG,Oliveira,  1.105.051 ,  2.829 
MG,Oliveira Fortes,  40.532 ,  41.987 
MG,Onça de Pitangui,  64.915 ,  2.128 
MG,Oratórios,  70.864 ,  3.155 
MG,Orizânia,  122.059 ,  4.671 
MG,Ouro Branco,  8.842.769 ,  8.138 
MG,Ouro Fino,  934.189 ,  40.220 
MG,Ouro Preto,  9.520.035 ,  33.938 
MG,Ouro Verde de Minas,  67.814 ,  74.824 
MG,Padre Carvalho,  58.192 ,  5.895 
MG,Padre Paraíso,  213.919 ,  6.466 
MG,Paineiras,  82.825 ,  20.346 
MG,Pains,  531.428 ,  6.098 
MG,Pai Pedro,  58.645 ,  4.440 
MG,Paiva,  27.301 ,  8.308 
MG,Palma,  103.673 ,  1.517 
MG,Palmópolis,  63.874 ,  6.606 
MG,Papagaios,  374.343 ,  5.196 
MG,Paracatu,  7.198.617 ,  15.922 
MG,Pará de Minas,  4.025.297 ,  95.616 
MG,Paraguaçu,  650.754 ,  94.539 
MG,Paraisópolis,  592.590 ,  21.693 
MG,Paraopeba,  918.487 ,  21.353 
MG,Passabém,  23.595 ,  24.854 
MG,Passa Quatro,  472.423 ,  16.439 
MG,Passa Tempo,  480.322 ,  8.031 
MG,Passa Vinte,  42.087 ,  2.024 
MG,Passos,  3.024.709 ,  1.619 
MG,Patis,  55.018 ,  115.970 
MG,Patos de Minas,  6.145.130 ,  6.031 
MG,Patrocínio,  3.678.404 ,  154.641 
MG,Patrocínio do Muriaé,  116.065 ,  92.116 
MG,Paula Cândido,  136.815 ,  5.744 
MG,Paulistas,  67.350 ,  9.597 
MG,Pavão,  93.078 ,  4.794 
MG,Peçanha,  270.148 ,  8.390 
MG,Pedra Azul,  401.448 ,  17.534 
MG,Pedra Bonita,  96.477 ,  24.333 
MG,Pedra do Anta,  57.727 ,  7.157 
MG,Pedra do Indaiá,  116.154 ,  2.960 
MG,Pedra Dourada,  42.293 ,  3.977 
MG,Pedralva,  182.678 ,  2.559 
MG,Pedras de Maria da Cruz,  109.590 ,  11.098 
MG,Pedrinópolis,  204.115 ,  12.313 
MG,Pedro Leopoldo,  1.939.056 ,  3.651 
MG,Pedro Teixeira,  30.268 ,  65.149 
MG,Pequeri,  62.540 ,  1.804 
MG,Pequi,  85.506 ,  3.340 
MG,Perdigão,  227.190 ,  4.457 
MG,Perdizes,  1.629.092 ,  11.994 
MG,Perdões,  627.041 ,  16.469 
MG,Periquito,  111.678 ,  21.577 
MG,Pescador,  47.101 ,  6.738 
MG,Piau,  92.672 ,  4.261 
MG,Piedade de Caratinga,  140.778 ,  2.719 
MG,Piedade de Ponte Nova,  62.735 ,  8.832 
MG,Piedade do Rio Grande,  110.401 ,  4.141 
MG,Piedade dos Gerais,  89.821 ,  4.436 
MG,Pimenta,  281.722 ,  5.034 
MG,Pingo-d'Água,  52.720 ,  8.715 
MG,Pintópolis,  71.219 ,  5.029 
MG,Piracema,  303.200 ,  7.540 
MG,Pirajuba,  403.824 ,  6.386 
MG,Piranga,  200.178 ,  6.491 
MG,Piranguçu,  78.368 ,  17.641 
MG,Piranguinho,  136.079 ,  5.504 
MG,Pirapetinga,  639.090 ,  8.683 
MG,Pirapora,  2.875.259 ,  10.791 
MG,Piraúba,  200.665 ,  56.845 
MG,Pitangui,  741.338 ,  10.732 
MG,Piumhi,  1.280.835 ,  28.433 
MG,Planura,  574.328 ,  35.137 
MG,Poço Fundo,  403.867 ,  12.445 
MG,Poços de Caldas,  8.531.692 ,  16.900 
MG,Pocrane,  121.719 ,  169.838 
MG,Pompéu,  1.170.187 ,  8.288 
MG,Ponte Nova,  2.144.994 ,  32.248 
MG,Ponto Chique,  52.076 ,  60.003 
MG,Ponto dos Volantes,  122.556 ,  4.305 
MG,Porteirinha,  526.939 ,  12.235 
MG,Porto Firme,  130.247 ,  37.823 
MG,Poté,  168.795 ,  11.414 
MG,Pouso Alegre,  10.720.093 ,  16.675 
MG,Pouso Alto,  277.468 ,  154.293 
MG,Prados,  229.201 ,  5.862 
MG,Prata,  1.293.341 ,  9.128 
MG,Pratápolis,  228.649 ,  28.173 
MG,Pratinha,  154.731 ,  8.530 
MG,Presidente Bernardes,  67.716 ,  3.658 
MG,Presidente Juscelino,  49.095 ,  5.315 
MG,Presidente Kubitschek,  36.194 ,  3.572 
MG,Presidente Olegário,  731.489 ,  3.000 
MG,Alto Jequitibá,  125.604 ,  19.680 
MG,Prudente de Morais,  203.136 ,  10.931 
MG,Quartel Geral,  77.631 ,  3.603 
MG,Queluzito,  40.046 ,  1.948 
MG,Raposos,  193.699 ,  16.501 
MG,Raul Soares,  423.415 ,  23.663 
MG,Recreio,  123.322 ,  10.522 
MG,Reduto,  121.225 ,  7.247 
MG,Resende Costa,  207.535 ,  11.578 
MG,Resplendor,  277.857 ,  17.396 
MG,Ressaquinha,  373.035 ,  4.826 
MG,Riachinho,  157.263 ,  8.132 
MG,Riacho dos Machados,  532.748 ,  9.471 
MG,Ribeirão das Neves,  5.181.711 ,  341.415 
MG,Ribeirão Vermelho,  105.348 ,  4.061 
MG,Rio Acima,  472.471 ,  10.524 
MG,Rio Casca,  237.367 ,  13.384 
MG,Rio Doce,  51.873 ,  5.117 
MG,Rio do Prado,  52.673 ,  2.630 
MG,Rio Espera,  59.610 ,  5.332 
MG,Rio Manso,  113.745 ,  5.924 
MG,Rio Novo,  120.108 ,  8.964 
MG,Rio Paranaíba,  906.353 ,  12.356 
MG,Rio Pardo de Minas,  345.467 ,  31.171 
MG,Rio Piracicaba,  1.339.301 ,  14.325 
MG,Rio Pomba,  417.439 ,  18.007 
MG,Rio Preto,  69.182 ,  5.493 
MG,Rio Vermelho,  140.768 ,  12.635 
MG,Ritápolis,  90.357 ,  4.521 
MG,Rochedo de Minas,  114.736 ,  2.335 
MG,Rodeiro,  550.096 ,  8.333 
MG,Romaria,  271.547 ,  3.507 
MG,Rosário da Limeira,  67.739 ,  4.648 
MG,Rubelita,  80.085 ,  5.609 
MG,Rubim,  111.720 ,  10.269 
MG,Sabará,  4.201.730 ,  137.877 
MG,Sabinópolis,  334.745 ,  15.364 
MG,Sacramento,  2.090.987 ,  26.556 
MG,Salinas,  667.409 ,  41.864 
MG,Salto da Divisa,  132.072 ,  7.014 
MG,Santa Bárbara,  1.628.493 ,  31.873 
MG,Santa Bárbara do Leste,  111.650 ,  8.212 
MG,Santa Bárbara do Monte Verde,  56.244 ,  3.212 
MG,Santa Bárbara do Tugúrio,  70.594 ,  4.385 
MG,Santa Cruz de Minas,  103.519 ,  8.723 
MG,Santa Cruz de Salinas,  49.009 ,  4.074 
MG,Santa Cruz do Escalvado,  76.965 ,  4.693 
MG,Santa Efigênia de Minas,  51.019 ,  4.354 
MG,Santa Fé de Minas,  59.942 ,  3.806 
MG,Santa Helena de Minas,  57.951 ,  6.406 
MG,Santa Juliana,  860.482 ,  14.497 
MG,Santa Luzia,  5.290.589 ,  221.705 
MG,Santa Margarida,  354.063 ,  16.393 
MG,Santa Maria de Itabira,  269.043 ,  10.867 
MG,Santa Maria do Salto,  49.995 ,  5.203 
MG,Santa Maria do Suaçuí,  170.840 ,  14.607 
MG,Santana da Vargem,  242.910 ,  8.900 
MG,Santana de Cataguases,  49.933 ,  3.380 
MG,Santana de Pirapama,  116.685 ,  4.843 
MG,Santana do Deserto,  47.378 ,  7.322 
MG,Santana do Garambéu,  39.157 ,  5.426 
MG,Santana do Jacaré,  105.993 ,  44.226 
MG,Santana do Manhuaçu,  189.846 ,  3.364 
MG,Santana do Paraíso,  750.463 ,  19.997 
MG,Santana do Riacho,  103.786 ,  7.047 
MG,Santana dos Montes,  49.866 ,  3.909 
MG,Santa Rita de Caldas,  227.955 ,  7.538 
MG,Santa Rita de Jacutinga,  74.817 ,  3.985 
MG,Santa Rita de Minas,  151.813 ,  2.494 
MG,Santa Rita de Ibitipoca,  61.761 ,  4.847 
MG,Santa Rita do Itueto,  179.081 ,  8.660 
MG,Santa Rita do Sapucaí,  1.944.614 ,  36.048 
MG,Santa Rosa da Serra,  102.034 ,  4.334 
MG,Santa Vitória,  802.690 ,  3.753 
MG,Santo Antônio do Amparo,  354.432 ,  18.697 
MG,Santo Antônio do Aventureiro,  67.920 ,  3.602 
MG,Santo Antônio do Grama,  85.672 ,  3.861 
MG,Santo Antônio do Itambé,  44.707 ,  3.763 
MG,Santo Antônio do Jacinto,  114.554 ,  11.570 
MG,Santo Antônio do Monte,  843.029 ,  28.603 
MG,Santo Antônio do Retiro,  70.750 ,  7.316 
MG,Santo Antônio do Rio Abaixo,  28.497 ,  1.756 
MG,Santo Hipólito,  50.200 ,  3.044 
MG,Santos Dumont,  1.102.977 ,  46.357 
MG,São Bento Abade,  89.310 ,  5.411 
MG,São Brás do Suaçuí,  80.505 ,  3.770 
MG,São Domingos das Dores,  91.417 ,  5.672 
MG,São Domingos do Prata,  313.491 ,  17.296 
MG,São Félix de Minas,  43.895 ,  3.354 
MG,São Francisco,  648.148 ,  56.625 
MG,São Francisco de Paula,  150.481 ,  6.512 
MG,São Francisco de Sales,  194.087 ,  6.309 
MG,São Francisco do Glória,  72.567 ,  4.758 
MG,São Geraldo,  264.434 ,  12.751 
MG,São Geraldo da Piedade,  44.821 ,  3.860 
MG,São Geraldo do Baixio,  49.944 ,  4.104 
MG,São Gonçalo do Abaeté,  325.580 ,  8.527 
MG,São Gonçalo do Pará,  311.248 ,  12.776 
MG,São Gonçalo do Rio Abaixo,  7.603.851 ,  11.114 
MG,São Gonçalo do Sapucaí,  987.545 ,  3.178 
MG,São Gotardo,  1.189.360 ,  25.670 
MG,São João Batista do Glória,  268.158 ,  36.084 
MG,São João da Lagoa,  60.418 ,  7.541 
MG,São João da Mata,  55.082 ,  4.949 
MG,São João da Ponte,  268.895 ,  2.743 
MG,São João das Missões,  92.400 ,  25.033 
MG,São João del Rei,  3.005.052 ,  13.232 
MG,São João do Manhuaçu,  183.099 ,  90.897 
MG,São João do Manteninha,  81.243 ,  11.785 
MG,São João do Oriente,  101.877 ,  5.975 
MG,São João do Pacuí,  44.646 ,  7.393 
MG,São João do Paraíso,  285.080 ,  4.476 
MG,São João Evangelista,  253.108 ,  23.797 
MG,São João Nepomuceno,  506.309 ,  15.761 
MG,São Joaquim de Bicas,  1.083.354 ,  26.530 
MG,São José da Barra,  891.476 ,  32.696 
MG,São José da Lapa,  625.195 ,  7.532 
MG,São José da Safira,  49.560 ,  24.490 
MG,São José da Varginha,  114.407 ,  4.291 
MG,São José do Alegre,  57.940 ,  5.151 
MG,São José do Divino,  53.046 ,  4.222 
MG,São José do Goiabal,  67.388 ,  3.851 
MG,São José do Jacuri,  99.911 ,  5.356 
MG,São José do Mantimento,  44.175 ,  6.409 
MG,São Lourenço,  1.177.922 ,  2.821 
MG,São Miguel do Anta,  105.089 ,  46.539 
MG,São Pedro da União,  148.166 ,  6.949 
MG,São Pedro dos Ferros,  134.410 ,  4.563 
MG,São Pedro do Suaçuí,  81.787 ,  5.160 
MG,São Romão,  243.121 ,  7.634 
MG,São Roque de Minas,  323.185 ,  12.713 
MG,São Sebastião da Bela Vista,  443.000 ,  7.100 
MG,São Sebastião da Vargem Alegre,  66.816 ,  5.598 
MG,São Sebastião do Anta,  104.241 ,  3.039 
MG,São Sebastião do Maranhão,  100.816 ,  6.697 
MG,São Sebastião do Oeste,  597.003 ,  9.884 
MG,São Sebastião do Paraíso,  2.236.521 ,  6.948 
MG,São Sebastião do Rio Preto,  25.970 ,  71.915 
MG,São Sebastião do Rio Verde,  35.692 ,  1.478 
MG,São Tiago,  246.094 ,  2.259 
MG,São Tomás de Aquino,  195.273 ,  10.979 
MG,São Tomé das Letras,  137.362 ,  6.980 
MG,São Vicente de Minas,  206.110 ,  7.151 
MG,Sapucaí-Mirim,  110.272 ,  7.876 
MG,Sardoá,  68.802 ,  7.045 
MG,Sarzedo,  2.190.992 ,  6.421 
MG,Setubinha,  122.686 ,  34.050 
MG,Sem-Peixe,  36.665 ,  2.579 
MG,Senador Amaral,  89.448 ,  5.365 
MG,Senador Cortes,  38.035 ,  2.001 
MG,Senador Firmino,  106.777 ,  7.902 
MG,Senador José Bento,  35.496 ,  1.422 
MG,Senador Modestino Gonçalves,  92.207 ,  4.056 
MG,Senhora de Oliveira,  81.083 ,  5.786 
MG,Senhora do Porto,  49.778 ,  3.516 
MG,Senhora dos Remédios,  115.769 ,  10.474 
MG,Sericita,  104.985 ,  7.340 
MG,Seritinga,  45.232 ,  1.857 
MG,Serra Azul de Minas,  45.066 ,  4.292 
MG,Serra da Saudade,  21.891 ,  771 
MG,Serra dos Aimorés,  91.034 ,  11.750 
MG,Serra do Salitre,  983.222 ,  8.725 
MG,Serrania,  161.647 ,  7.667 
MG,Serranópolis de Minas,  47.456 ,  4.836 
MG,Serranos,  38.562 ,  1.949 
MG,Serro,  292.440 ,  20.915 
MG,Sete Lagoas,  12.659.740 ,  243.950 
MG,Silveirânia,  35.150 ,  12.493 
MG,Silvianópolis,  141.556 ,  2.267 
MG,Simão Pereira,  104.072 ,  6.258 
MG,Simonésia,  285.287 ,  2.621 
MG,Sobrália,  67.373 ,  19.834 
MG,Soledade de Minas,  81.877 ,  5.476 
MG,Tabuleiro,  65.731 ,  6.226 
MG,Taiobeiras,  557.419 ,  3.669 
MG,Taparuba,  49.070 ,  34.653 
MG,Tapira,  689.238 ,  3.093 
MG,Tapiraí,  56.041 ,  4.890 
MG,Taquaraçu de Minas,  65.923 ,  1.869 
MG,Tarumirim,  188.341 ,  4.120 
MG,Teixeiras,  191.322 ,  14.280 
MG,Teófilo Otoni,  2.951.670 ,  11.680 
MG,Timóteo,  5.611.339 ,  141.269 
MG,Tiradentes,  205.707 ,  91.268 
MG,Tiros,  379.859 ,  8.160 
MG,Tocantins,  349.691 ,  6.369 
MG,Tocos do Moji,  70.719 ,  16.769 
MG,Toledo,  107.161 ,  4.117 
MG,Tombos,  130.979 ,  6.336 
MG,Três Corações,  2.959.361 ,  7.683 
MG,Três Marias,  3.151.633 ,  80.561 
MG,Três Pontas,  1.879.264 ,  33.062 
MG,Tumiritinga,  82.915 ,  57.127 
MG,Tupaciguara,  946.559 ,  6.797 
MG,Turmalina,  443.706 ,  25.466 
MG,Turvolândia,  139.820 ,  20.280 
MG,Ubá,  3.573.940 ,  5.099 
MG,Ubaí,  117.219 ,  117.995 
MG,Ubaporanga,  167.991 ,  12.661 
MG,Uberaba,  20.397.519 ,  12.514 
MG,Uberlândia,  43.129.285 ,  340.277 
MG,Umburatiba,  44.172 ,  706.597 
MG,Unaí,  4.319.563 ,  2.582 
MG,União de Minas,  130.424 ,  85.461 
MG,Uruana de Minas,  97.097 ,  4.265 
MG,Urucânia,  239.997 ,  3.256 
MG,Urucuia,  193.242 ,  10.333 
MG,Vargem Alegre,  77.331 ,  17.470 
MG,Vargem Bonita,  87.637 ,  6.460 
MG,Vargem Grande do Rio Pardo,  68.130 ,  2.143 
MG,Varginha,  8.093.810 ,  5.045 
MG,Varjão de Minas,  316.199 ,  137.608 
MG,Várzea da Palma,  1.067.613 ,  7.235 
MG,Varzelândia,  187.206 ,  40.101 
MG,Vazante,  1.168.648 ,  19.290 
MG,Verdelândia,  115.451 ,  20.692 
MG,Veredinha,  133.052 ,  9.527 
MG,Veríssimo,  170.434 ,  5.733 
MG,Vermelho Novo,  64.216 ,  4.090 
MG,Vespasiano,  3.020.537 ,  4.852 
MG,Viçosa,  1.811.859 ,  131.849 
MG,Vieiras,  53.459 ,  79.910 
MG,Mathias Lobato,  43.931 ,  3.570 
MG,Virgem da Lapa,  131.604 ,  13.729 
MG,Virgínia,  180.446 ,  8.652 
MG,Virginópolis,  183.953 ,  10.459 
MG,Virgolândia,  62.674 ,  5.303 
MG,Visconde do Rio Branco,  1.351.679 ,  43.351 
MG,Volta Grande,  140.361 ,  5.270 
MG,Wenceslau Braz,  33.088 ,  2.543 